epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std
0.100000,3.082440e+01,1.843653e+03,1.292218e-06,9.868964e-05
0.200000,1.564715e+01,4.718749e+02,1.016454e-06,0.000000e+00
0.300000,1.050302e+01,2.110447e+02,0.000000e+00,5.102479e-06
0.400000,7.911704e+00,1.192867e+02,0.000000e+00,0.000000e+00
0.500000,6.345363e+00,7.656312e+01,0.000000e+00,5.576396e-06
0.600000,5.297308e+00,5.328451e+01,0.000000e+00,3.159862e-06
0.700000,4.548407e+00,3.924332e+01,1.869280e-07,7.524381e-07
0.800000,3.986731e+00,3.013004e+01,1.530020e-07,0.000000e+00
0.900000,3.549872e+00,2.388201e+01,3.250111e-08,7.735083e-07
1.000000,3.199078e+00,1.938737e+01,2.373800e-07,0.000000e+00
1.200000,2.670336e+00,1.349044e+01,1.849519e-07,0.000000e+00
1.400000,2.291002e+00,9.916652e+00,0.000000e+00,0.000000e+00
1.600000,2.006502e+00,7.597124e+00,0.000000e+00,6.395267e-07
1.800000,1.785224e+00,6.006863e+00,0.000000e+00,2.378537e-07
2.000000,1.607976e+00,4.868592e+00,0.000000e+00,2.547485e-07
3.000000,1.074092e+00,2.167262e+00,0.000000e+00,0.000000e+00
4.000000,8.068187e-01,1.221272e+00,0.000000e+00,4.885350e-08
5.000000,6.461907e-01,7.829138e-01,0.000000e+00,0.000000e+00
6.000000,5.389089e-01,5.444540e-01,3.964604e-08,1.606754e-08
7.000000,4.622791e-01,4.006703e-01,0.000000e+00,9.419439e-09
8.000000,4.047344e-01,3.072067e-01,2.357170e-08,0.000000e+00
9.000000,3.597639e-01,2.427312e-01,0.000000e+00,0.000000e+00
10.000000,3.237875e-01,1.966123e-01,0.000000e+00,8.714695e-09
-1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
